key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_DEEPDUNGEON2ENTRANCE_KYUSEI_000_000","哎呀，您找我有什么事吗？<hex:02100103>现在这里正在警戒中，请稍后再来。"
1,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_START_MENU_ENTER","<hex:024804F2023503><hex:024904F2023603>挑战“天之御柱”<hex:0249020103><hex:0248020103>"
2,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_START_MENU_RESET","重置“攻略进度”"
3,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_START_MENU_BREAKUP","解散“固定队伍”"
4,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_START_MENU_SCORE","确认“积分”"
5,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_START_MENU_ABOUT","查看说明"
6,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_MENU_TITLE","要做什么？"
7,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_MENU_FIXED","“固定队伍”进入"
8,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_MENU_MATCHING","“随机组队”进入"
9,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_MENU_BACK","返回"
10,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_FIXED_Q","确定以“固定队伍”进入吗？"
11,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_MATCHING_Q","确定以“随机组队”进入吗？"
12,"TEXT_DEEPDUNGEON2ENTRANCE_KYUSEI_000_010","……您真的想要一个人前去探索吗？<hex:02100103>就算是<hex:022903EB0203>您，<hex:02100103>我想也肯定会陷入苦战，真的没问题吗？"
13,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_SOLO","确定要单人进入“天之御柱”？"
14,"TEXT_DEEPDUNGEON2ENTRANCE_ENTER_WHICH_Q","要从哪层开始进入？"
15,"TEXT_DEEPDUNGEON2ENTRANCE_ENTER_A1","1层"
16,"TEXT_DEEPDUNGEON2ENTRANCE_ENTER_A2","21层"
17,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_TITLE","想看哪一项内容？"
18,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_WHAT","1.关于“天之御柱”"
19,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_RESET","2.关于重置“攻略进度”"
20,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_DISSOLVE","3.关于“解散固定队伍”"
21,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_EQUIP","4.关于“聚魔装备”"
22,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_ITEM","5.关于“特殊的道具”"
23,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_BACK","返回主目录"
24,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_WHAT_TITLE","1.关于“天之御柱”"
25,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_WHAT_Q1","1-1.挑战“天之御柱”的方法"
26,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_LEVEL_Q1","1-2.关于“天之御柱”中的等级"
27,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_WHAT_Q5","1-3.进入“天之御柱”时的注意事项"
28,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_WHAT_BACK","返回上层目录"
29,"TEXT_DEEPDUNGEON2ENTRANCE_SYSTEM_000_305","<hex:024804F201FA03><hex:024904F201FB03>1-1.挑战“天之御柱”的方法<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>“天之御柱”直插云霄，是1～4人用副本任务。<hex:02100103><hex:02100103>和九星对话即可选择<hex:02100103>以“固定队伍”或“随机组队”挑战迷宫。<hex:02100103><hex:02100103>此外，只有等级在61级以上的战斗精英或魔法导师<hex:02100103>可以挑战天之御柱。<hex:02100103>"
30,"TEXT_DEEPDUNGEON2ENTRANCE_SYSTEM_100_405","<hex:024804F201FA03><hex:024904F201FB03>1-2.关于“天之御柱”中的等级<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>在“天之御柱”中有削减力量的结界。<hex:02100103><hex:02100103>进入天之御柱1层时，<hex:02100103>所有人的等级都会暂时变为61级状态。<hex:02100103><hex:02100103>和迷宫内部的敌人战斗，<hex:02100103>可以重新赚取经验使等级上升。<hex:02100103><hex:02100103>此外，从21层之后开始挑战时，<hex:02100103>所有人的等级都会变为70级。<hex:02100103><hex:02100103>"
31,"TEXT_DEEPDUNGEON2ENTRANCE_SYSTEM_000_415","<hex:024804F201FA03><hex:024904F201FB03>1-3进入“天之御柱”时的注意事项<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>31层以后的层数是挑战型任务，<hex:02100103>只能以“固定队伍”进入，<hex:02100103>且需要存档显示的团灭次数为0。<hex:02100103><hex:02100103>团灭次数除了会因队伍全军覆没增加外，<hex:02100103>中途退出也会增加。<hex:02100103><hex:02100103>此外，只有在以“固定队伍”挑战时，<hex:02100103>才会计算攻略时的积分。<hex:02100103>"
32,"TEXT_DEEPDUNGEON2ENTRANCE_SYSTEM_000_105","<hex:024804F201FA03><hex:024904F201FB03>2.关于重置“攻略进度”<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>重置攻略进度后，<hex:02100103>可以重新开始挑战“天之御柱”。<hex:02100103><hex:02100103>虽然等级会变回61级，从1层开始挑战。<hex:02100103>或是等级变为70级，从21层开始挑战。<hex:02100103>但可以继承之前聚魔装备的强化值。<hex:02100103><hex:02100103>攻略进度重置后将无法复原，<hex:02100103>敬请注意。<hex:02100103><hex:02100103>"
33,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_DISSOLVE_TITLE","3.关于“解散固定队伍”"
34,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_DISSOLVE_Q1","3-1.关于“解散固定队伍”"
35,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_DISSOLVE_Q2","3-2.关于“固定队伍”解散后的进入方法"
36,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_DISSOLVE_Q3","3-3.“固定队伍”成员的攻略进度不同时的解决方法"
37,"TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_DISSOLVE_BACK","返回上层目录"
38,"TEXT_DEEPDUNGEON2ENTRANCE_SYSTEM_000_201","<hex:024804F201FA03><hex:024904F201FB03>3-1.关于“解散固定队伍”<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>在难以以“固定队伍”继续进行攻略时，<hex:02100103>可选择将“固定队伍”解散。<hex:02100103><hex:02100103>解散后，可以继承攻略进度和“聚魔装备”的强化值，<hex:02100103>但将无法再以“固定队伍”继续攻略。<hex:02100103><hex:02100103>此时，可使用“随机组队”继续进行挑战。<hex:02100103><hex:02100103>"
