key,0,1,2,3
#,,,,
offset,0,4,8,12
int32,str,int32,int32,byte
0,"",0,0,0
1,"战队“<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>”成立了。",0,1,0
2,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303>加入了战队。",2,0,0
3,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303>退出了战队。",2,0,0
4,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303>退出了战队。",2,0,0
5,"",2,0,0
6,"",2,0,0
7,"战队名已被修改为“<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>”。",0,1,0
8,"战队队徽已变更。",0,0,0
9,"战队段位已升至“<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>”。",0,3,0
10,"战队段位已降至“<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>”。",0,3,0
11,"新的赛季开始了。",0,0,0
12,"因为队长已经离开一定期间，<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303>被任命为战队队长。",2,0,0
13,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303>被任命为战队副队长。",2,0,0
14,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303>被移交了战队队长职务。",2,0,0
